action_type,combined_shot_type,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent
Layup Shot,Layup,3,3,0,2000-01,21,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Reverse Dunk Shot,Dunk,2,3,0,2000-01,55,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Slam Dunk Shot,Dunk,2,3,0,2000-01,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,4,4,0,2000-01,55,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,3,4,0,2000-01,19,17,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,1,4,0,2000-01,8,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,1,4,0,2000-01,6,1,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,10,1,0,2000-01,33,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,10,1,0,2000-01,4,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,4,1,0,2000-01,58,28,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,2,1,0,2000-01,33,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,11,2,0,2000-01,26,22,1.0,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-11-05,LAL vs. LAC,LAC
Driving Layup Shot,Layup,8,2,0,2000-01,40,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Slam Dunk Shot,Dunk,4,2,0,2000-01,5,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,3,2,0,2000-01,10,28,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,2,2,0,2000-01,2,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-05,LAL vs. LAC,LAC
Layup Shot,Layup,0,2,0,2000-01,47,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Driving Layup Shot,Layup,9,3,0,2000-01,32,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Driving Layup Shot,Layup,0,3,0,2000-01,37,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAL vs. LAC,LAC
Running Jump Shot,Jump Shot,0,3,0,2000-01,1,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,10,4,0,2000-01,13,9,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-05,LAL vs. LAC,LAC
Jump Shot,Jump Shot,9,1,0,2000-01,6,12,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,8,1,0,2000-01,17,23,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2000-11-07,LAL @ HOU,HOU
Driving Layup Shot,Layup,7,1,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Driving Dunk Shot,Dunk,7,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,5,1,0,2000-01,15,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,3,1,0,2000-01,11,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-11-07,LAL @ HOU,HOU
Driving Layup Shot,Layup,7,2,0,2000-01,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,2,2,0,2000-01,40,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,0,2,0,2000-01,10,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,11,3,0,2000-01,2,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,9,3,0,2000-01,10,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,7,3,0,2000-01,24,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,0,3,0,2000-01,1,8,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,11,4,0,2000-01,49,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,5,4,0,2000-01,1,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,0,4,0,2000-01,46,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-11-07,LAL @ HOU,HOU
Jump Shot,Jump Shot,11,1,0,2000-01,41,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-08,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,10,1,0,2000-01,59,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,9,1,0,2000-01,48,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,7,1,0,2000-01,26,13,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,6,1,0,2000-01,36,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,5,1,0,2000-01,54,19,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,2,1,0,2000-01,24,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,1,1,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,1,1,0,2000-01,25,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,1,0,2000-01,47,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,10,2,0,2000-01,57,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,9,2,0,2000-01,37,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,4,2,0,2000-01,25,13,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,3,2,0,2000-01,50,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,3,2,0,2000-01,15,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,2,0,2000-01,53,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,2,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,11,3,0,2000-01,26,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,9,3,0,2000-01,20,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,7,3,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,6,3,0,2000-01,40,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,4,3,0,2000-01,16,17,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,3,3,0,2000-01,0,12,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,3,0,2000-01,48,19,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,3,0,2000-01,21,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,10,4,0,2000-01,39,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,7,4,0,2000-01,8,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,6,4,0,2000-01,25,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,5,4,0,2000-01,14,9,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,3,4,0,2000-01,38,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,0,4,0,2000-01,43,21,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,LAL @ SAS,SAS
Jump Shot,Jump Shot,11,1,0,2000-01,9,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,10,1,0,2000-01,17,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Reverse Layup Shot,Layup,9,1,0,2000-01,23,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Tip Shot,Tip Shot,9,1,0,2000-01,21,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Slam Dunk Shot,Dunk,3,1,0,2000-01,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,0,1,0,2000-01,44,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,0,1,0,2000-01,21,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,8,2,0,2000-01,50,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,8,2,0,2000-01,18,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,2,2,0,2000-01,40,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Running Hook Shot,Hook Shot,0,2,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,0,2,0,2000-01,4,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-11-12,LAL vs. HOU,HOU
Running Jump Shot,Jump Shot,9,3,0,2000-01,59,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,8,3,0,2000-01,38,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,5,3,0,2000-01,18,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,4,3,0,2000-01,34,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,3,3,0,2000-01,51,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,3,3,0,2000-01,40,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,3,3,0,2000-01,33,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Reverse Layup Shot,Layup,2,3,0,2000-01,56,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,2,3,0,2000-01,5,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,0,3,0,2000-01,14,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,10,4,0,2000-01,52,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,6,4,0,2000-01,34,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,4,4,0,2000-01,57,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,3,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Running Jump Shot,Jump Shot,1,4,0,2000-01,38,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,1,4,0,2000-01,5,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Tip Shot,Tip Shot,1,4,0,2000-01,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,7,1,0,2000-01,43,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,4,1,0,2000-01,52,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2000-11-14,LAL vs. DEN,DEN
Alley Oop Dunk Shot,Dunk,3,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,2,1,0,2000-01,25,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,0,1,0,2000-01,48,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,11,2,0,2000-01,16,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,10,2,0,2000-01,19,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,10,2,0,2000-01,5,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Running Jump Shot,Jump Shot,9,2,0,2000-01,7,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,4,2,0,2000-01,14,16,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-11-14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,3,2,0,2000-01,22,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Layup Shot,Layup,1,2,0,2000-01,54,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,0,2,0,2000-01,28,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Tip Shot,Tip Shot,0,2,0,2000-01,26,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,10,3,0,2000-01,23,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,5,3,0,2000-01,23,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Reverse Dunk Shot,Dunk,3,3,0,2000-01,53,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Driving Dunk Shot,Dunk,0,3,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,11,4,0,2000-01,43,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-14,LAL vs. DEN,DEN
